,0
0,OOR
1,OOR
2,OOR
3,OOR
4,OOR
5,OOR
6,OOR
7,OOR
8,OOR
9,OOR
10,OOR
11,OOR
12,OOR
13,OOR
14,OOR
15,OOR
16,OOR
17,OOR
18,OOR
19,OOR
20,OOR
21,OOR
22,OOR
23,OOR
24,OOR
25,OOR
26,OOR
27,OOR
28,OOR
29,OOR
30,OOR
31,OOR
32,OOR
33,OOR
34,OOR
35,OOR
36,OOR
37,OOR
38,OOR
39,OOR
40,OOR
41,OOR
42,OOR
43,OOR
44,OOR
45,OOR
46,OOR
47,OOR
48,OOR
49,OOR
50,OOR
51,OOR
52,OOR
53,OOR
54,OOR
55,OOR
56,OOR
57,OOR
58,OOR
59,OOR
60,OOR
61,OOR
62,OOR
63,OOR
64,OOR
65,OOR
66,OOR
67,OOR
68,OOR
69,OOR
70,OOR
71,OOR
72,OOR
73,OOR
74,OOR
75,OOR
76,OOR
77,OOR
78,OOR
79,OOR
80,OOR
81,OOR
82,OOR
83,OOR
84,OOR
85,OOR
86,OOR
87,OOR
88,OOR
89,OOR
90,OOR
91,OOR
92,OOR
93,OOR
94,OOR
95,OOR
96,OOR
97,OOR
98,Candidate
99,OOR
100,OOR
101,OOR
102,OOR
103,OOR
104,OOR
105,OOR
106,OOR
107,OOR
108,OOR
109,OOR
110,OOR
111,OOR
112,OOR
113,OOR
114,OOR
115,OOR
116,OOR
117,OOR
118,OOR
119,OOR
120,OOR
121,OOR
122,OOR
123,OOR
124,OOR
125,OOR
126,OOR
127,OOR
128,OOR
129,OOR
130,OOR
131,OOR
132,OOR
133,OOR
134,OOR
135,OOR
136,OOR
137,OOR
138,OOR
139,OOR
140,OOR
141,OOR
142,OOR
143,OOR
144,OOR
145,OOR
146,OOR
147,OOR
148,OOR
149,OOR
150,OOR
151,OOR
152,OOR
153,OOR
154,OOR
155,OOR
156,OOR
157,OOR
158,OOR
159,OOR
160,OOR
161,OOR
162,OOR
163,OOR
164,OOR
165,OOR
166,OOR
167,OOR
168,OOR
169,OOR
170,OOR
171,OOR
172,OOR
173,OOR
174,OOR
175,OOR
176,OOR
177,OOR
178,OOR
179,OOR
180,OOR
181,OOR
182,OOR
183,OOR
184,OOR
185,OOR
186,OOR
187,OOR
188,OOR
189,OOR
190,OOR
191,OOR
192,OOR
193,OOR
194,OOR
195,OOR
196,OOR
197,OOR
198,OOR
199,OOR
200,OOR
201,OOR
202,OOR
203,OOR
204,OOR
205,OOR
206,OOR
207,OOR
208,OOR
209,OOR
210,OOR
211,OOR
212,OOR
213,OOR
214,OOR
215,OOR
216,OOR
217,OOR
218,OOR
219,OOR
220,OOR
221,OOR
222,OOR
223,OOR
224,OOR
225,OOR
226,OOR
227,OOR
228,OOR
229,OOR
230,OOR
231,OOR
232,OOR
233,OOR
234,OOR
235,OOR
236,OOR
237,OOR
238,OOR
239,OOR
240,OOR
241,OOR
242,OOR
243,OOR
244,OOR
245,OOR
246,OOR
247,OOR
248,OOR
249,OOR
250,OOR
251,OOR
252,OOR
253,OOR
254,OOR
255,OOR
256,OOR
257,OOR
258,OOR
259,OOR
260,OOR
261,OOR
262,OOR
263,OOR
264,OOR
265,OOR
266,OOR
267,OOR
268,OOR
269,OOR
270,OOR
271,OOR
272,OOR
273,OOR
274,OOR
275,OOR
