Player,First,Share,Status
Julius Erving,28.0,0.658,MVP
Larry Bird,20.0,0.613,Candidate
Kareem Abdul-Jabbar,8.0,0.414,Candidate
Moses Malone,8.0,0.261,Candidate
George Gervin,1.0,0.12,Candidate
Marques Johnson,1.0,0.106,Candidate
Robert Parish,0.0,0.077,Candidate
Dennis Johnson,0.0,0.072,Candidate
Tiny Archibald,0.0,0.046,Candidate
Jamaal Wilkes,0.0,0.028,Candidate
Magic Johnson,0.0,0.026,Candidate
Adrian Dantley,1.0,0.022,Candidate
Phil Ford,1.0,0.022,Candidate
Bernard King,0.0,0.017,Candidate
Kelvin Ransey,1.0,0.016,Candidate
Jack Sikma,0.0,0.016,Candidate
Otis Birdsong,0.0,0.01,Candidate
Micheal Ray Richardson,0.0,0.01,Candidate
Truck Robinson,0.0,0.009,Candidate
Reggie Theus,0.0,0.009,Candidate
Norm Nixon,0.0,0.007,Candidate
Artis Gilmore,0.0,0.006,Candidate
Bob Lanier,0.0,0.006,Candidate
Michael Cooper,0.0,0.004,Candidate
Walter Davis,0.0,0.004,Candidate
George Johnson,0.0,0.004,Candidate
Bobby Jones,0.0,0.004,Candidate
Mike Mitchell,0.0,0.004,Candidate
James Silas,0.0,0.004,Candidate
Quinn Buckner,0.0,0.001,Candidate
Caldwell Jones,0.0,0.001,Candidate
